timestamp_shifted,endpoint_code,user_code,ip_code,timestamp,prev_timestamp
2026-01-01T06:46:12.646000Z,TIMESLOT_AVAILABLE_SLOTS_001,UUID_000079,IP_000052,2026-01-01 06:46:12.646000+00:00,2026-01-01 06:46:12.639000+00:00
2026-01-01T06:46:56.325000Z,NOTIFICATIONS_001,UUID_000079,IP_000002,2026-01-01 06:46:56.325000+00:00,2026-01-01 06:46:12.646000+00:00
2026-01-01T06:47:06.404000Z,NOTIFICATIONS_001,UUID_000079,IP_000002,2026-01-01 06:47:06.404000+00:00,2026-01-01 06:46:56.325000+00:00
2026-01-01T06:47:23.866000Z,CAPTCHA_ACTION_002,UUID_000079,IP_000052,2026-01-01 06:47:23.866000+00:00,2026-01-01 06:47:06.404000+00:00
2026-01-01T06:47:23.889000Z,CAPTCHA_ACTION_002,UUID_000079,IP_000052,2026-01-01 06:47:23.889000+00:00,2026-01-01 06:47:23.866000+00:00
2026-01-01T06:47:23.894000Z,CAPTCHA_ACTION_002,UUID_000079,IP_000052,2026-01-01 06:47:23.894000+00:00,2026-01-01 06:47:23.889000+00:00
2026-01-01T06:47:43.677000Z,CAPTCHA_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:47:43.677000+00:00,2026-01-01 06:47:23.894000+00:00
2026-01-01T06:47:43.681000Z,CAPTCHA_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:47:43.681000+00:00,2026-01-01 06:47:43.677000+00:00
2026-01-01T06:47:43.682000Z,CAPTCHA_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:47:43.682000+00:00,2026-01-01 06:47:43.681000+00:00
2026-01-01T06:47:43.686000Z,CAPTCHA_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:47:43.686000+00:00,2026-01-01 06:47:43.682000+00:00
2026-01-01T06:47:43.688000Z,CAPTCHA_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:47:43.688000+00:00,2026-01-01 06:47:43.686000+00:00
2026-01-01T06:47:43.694000Z,CAPTCHA_ACTION_001,UUID_000079,IP_000052,2026-01-01 06:47:43.694000+00:00,2026-01-01 06:47:43.688000+00:00
2026-01-01T06:47:48.597000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.597000+00:00,2026-01-01 06:47:43.694000+00:00
2026-01-01T06:47:48.615000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.615000+00:00,2026-01-01 06:47:48.597000+00:00
2026-01-01T06:47:48.616000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.616000+00:00,2026-01-01 06:47:48.615000+00:00
2026-01-01T06:47:48.617000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.617000+00:00,2026-01-01 06:47:48.616000+00:00
2026-01-01T06:47:48.618000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.618000+00:00,2026-01-01 06:47:48.617000+00:00
2026-01-01T06:47:48.619000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.619000+00:00,2026-01-01 06:47:48.618000+00:00
2026-01-01T06:47:48.620000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.620000+00:00,2026-01-01 06:47:48.619000+00:00
2026-01-01T06:47:48.621000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.621000+00:00,2026-01-01 06:47:48.620000+00:00
2026-01-01T06:47:48.635000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.635000+00:00,2026-01-01 06:47:48.621000+00:00
2026-01-01T06:47:48.637000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.637000+00:00,2026-01-01 06:47:48.635000+00:00
2026-01-01T06:47:48.641000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.641000+00:00,2026-01-01 06:47:48.637000+00:00
2026-01-01T06:47:48.642000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.642000+00:00,2026-01-01 06:47:48.641000+00:00
2026-01-01T06:47:48.647000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.647000+00:00,2026-01-01 06:47:48.642000+00:00
2026-01-01T06:47:48.654000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.654000+00:00,2026-01-01 06:47:48.647000+00:00
2026-01-01T06:47:48.655000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.655000+00:00,2026-01-01 06:47:48.654000+00:00
2026-01-01T06:47:48.661000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.661000+00:00,2026-01-01 06:47:48.655000+00:00
2026-01-01T06:47:48.665000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.665000+00:00,2026-01-01 06:47:48.661000+00:00
2026-01-01T06:47:48.670000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.670000+00:00,2026-01-01 06:47:48.665000+00:00
2026-01-01T06:47:48.700000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.700000+00:00,2026-01-01 06:47:48.670000+00:00
2026-01-01T06:47:48.854000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.854000+00:00,2026-01-01 06:47:48.700000+00:00
2026-01-01T06:47:48.855000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.855000+00:00,2026-01-01 06:47:48.854000+00:00
2026-01-01T06:47:48.861000Z,RESERVATION_OTHER_002,UUID_000079,IP_000052,2026-01-01 06:47:48.861000+00:00,2026-01-01 06:47:48.855000+00:00
2026-01-01T06:47:49.243000Z,RESERVATION_APP_001,UUID_000079,IP_000052,2026-01-01 06:47:49.243000+00:00,2026-01-01 06:47:48.861000+00:00
2026-01-01T06:47:49.251000Z,RESERVATION_APP_001,UUID_000079,IP_000052,2026-01-01 06:47:49.251000+00:00,2026-01-01 06:47:49.243000+00:00
2026-01-01T06:47:49.380000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:47:49.380000+00:00,2026-01-01 06:47:49.251000+00:00
2026-01-01T06:47:49.388000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:47:49.388000+00:00,2026-01-01 06:47:49.380000+00:00
2026-01-01T06:47:49.404000Z,RESERVATION_OTHER_003,UUID_000079,IP_000052,2026-01-01 06:47:49.404000+00:00,2026-01-01 06:47:49.388000+00:00
2026-01-01T06:47:49.416000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:47:49.416000+00:00,2026-01-01 06:47:49.404000+00:00
2026-01-01T06:47:49.418000Z,RESERVATION_OTHER_003,UUID_000079,IP_000052,2026-01-01 06:47:49.418000+00:00,2026-01-01 06:47:49.416000+00:00
2026-01-01T06:47:49.420000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:47:49.420000+00:00,2026-01-01 06:47:49.418000+00:00
2026-01-01T06:47:49.426000Z,ACTIVITY_ADD_001,UUID_000079,IP_000052,2026-01-01 06:47:49.426000+00:00,2026-01-01 06:47:49.420000+00:00
2026-01-01T06:47:49.427000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:47:49.427000+00:00,2026-01-01 06:47:49.426000+00:00
2026-01-01T06:47:49.428000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:47:49.428000+00:00,2026-01-01 06:47:49.427000+00:00
2026-01-01T06:47:49.430000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:47:49.430000+00:00,2026-01-01 06:47:49.428000+00:00
2026-01-01T06:47:49.892000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:47:49.892000+00:00,2026-01-01 06:47:49.430000+00:00
2026-01-01T06:47:50.051000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:47:50.051000+00:00,2026-01-01 06:47:49.892000+00:00
2026-01-01T06:47:50.052000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:47:50.052000+00:00,2026-01-01 06:47:50.051000+00:00
2026-01-01T06:47:50.058000Z,RESERVATION_SEARCH_001,UUID_000079,IP_000052,2026-01-01 06:47:50.058000+00:00,2026-01-01 06:47:50.052000+00:00
2026-01-01T06:48:12.828000Z,CAPTCHA_CHECK_001,UUID_000079,IP_000052,2026-01-01 06:48:12.828000+00:00,2026-01-01 06:47:50.058000+00:00
2026-01-01T06:48:12.830000Z,CAPTCHA_CHECK_001,UUID_000079,IP_000052,2026-01-01 06:48:12.830000+00:00,2026-01-01 06:48:12.828000+00:00
2026-01-01T06:48:12.844000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:48:12.844000+00:00,2026-01-01 06:48:12.830000+00:00
2026-01-01T06:48:12.848000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:48:12.848000+00:00,2026-01-01 06:48:12.844000+00:00
2026-01-01T06:48:12.852000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_000079,IP_000052,2026-01-01 06:48:12.852000+00:00,2026-01-01 06:48:12.848000+00:00
2026-01-01T06:48:30.985000Z,RESERVATION_CREATE_DRAFT_STEP1_001,UUID_000079,IP_000052,2026-01-01 06:48:30.985000+00:00,2026-01-01 06:48:12.852000+00:00
2026-01-01T06:48:31.002000Z,RESERVATION_CREATE_DRAFT_STEP1_001,UUID_000079,IP_000052,2026-01-01 06:48:31.002000+00:00,2026-01-01 06:48:30.985000+00:00
2026-01-01T06:48:31.003000Z,RESERVATION_CREATE_DRAFT_STEP1_001,UUID_000079,IP_000052,2026-01-01 06:48:31.003000+00:00,2026-01-01 06:48:31.002000+00:00
2026-01-01T06:48:31.006000Z,RESERVATION_CREATE_DRAFT_STEP1_001,UUID_000079,IP_000052,2026-01-01 06:48:31.006000+00:00,2026-01-01 06:48:31.003000+00:00
2026-01-01T06:48:31.013000Z,RESERVATION_CREATE_DRAFT_STEP1_001,UUID_000079,IP_000052,2026-01-01 06:48:31.013000+00:00,2026-01-01 06:48:31.006000+00:00
2026-01-01T06:48:31.057000Z,RESERVATION_CREATE_DRAFT_STEP1_001,UUID_000079,IP_000052,2026-01-01 06:48:31.057000+00:00,2026-01-01 06:48:31.013000+00:00
2026-01-01T06:48:34.372000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:34.372000+00:00,2026-01-01 06:48:31.057000+00:00
2026-01-01T06:48:34.377000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:34.377000+00:00,2026-01-01 06:48:34.372000+00:00
2026-01-01T06:48:34.378000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:34.378000+00:00,2026-01-01 06:48:34.377000+00:00
2026-01-01T06:48:34.381000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:34.381000+00:00,2026-01-01 06:48:34.378000+00:00
2026-01-01T06:48:34.384000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:34.384000+00:00,2026-01-01 06:48:34.381000+00:00
2026-01-01T06:48:34.395000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:34.395000+00:00,2026-01-01 06:48:34.384000+00:00
2026-01-01T06:48:40.686000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:40.686000+00:00,2026-01-01 06:48:34.395000+00:00
2026-01-01T06:48:40.689000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:40.689000+00:00,2026-01-01 06:48:40.686000+00:00
2026-01-01T06:48:40.690000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:40.690000+00:00,2026-01-01 06:48:40.689000+00:00
2026-01-01T06:48:40.693000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:40.693000+00:00,2026-01-01 06:48:40.690000+00:00
2026-01-01T06:48:40.696000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:40.696000+00:00,2026-01-01 06:48:40.693000+00:00
2026-01-01T06:48:40.707000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:40.707000+00:00,2026-01-01 06:48:40.696000+00:00
2026-01-01T06:48:41.014000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:41.014000+00:00,2026-01-01 06:48:40.707000+00:00
2026-01-01T06:48:41.017000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:41.017000+00:00,2026-01-01 06:48:41.014000+00:00
2026-01-01T06:48:41.019000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:41.019000+00:00,2026-01-01 06:48:41.017000+00:00
2026-01-01T06:48:41.021000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:41.021000+00:00,2026-01-01 06:48:41.019000+00:00
2026-01-01T06:48:41.022000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:41.022000+00:00,2026-01-01 06:48:41.021000+00:00
2026-01-01T06:48:41.026000Z,VEHICLE_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:41.026000+00:00,2026-01-01 06:48:41.022000+00:00
2026-01-01T06:48:52.748000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.748000+00:00,2026-01-01 06:48:41.026000+00:00
2026-01-01T06:48:52.751000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.751000+00:00,2026-01-01 06:48:52.748000+00:00
2026-01-01T06:48:52.752000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.752000+00:00,2026-01-01 06:48:52.751000+00:00
2026-01-01T06:48:52.755000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.755000+00:00,2026-01-01 06:48:52.752000+00:00
2026-01-01T06:48:52.763000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.763000+00:00,2026-01-01 06:48:52.755000+00:00
2026-01-01T06:48:52.765000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.765000+00:00,2026-01-01 06:48:52.763000+00:00
2026-01-01T06:48:52.787000Z,RESERVATION_OTHER_005,UUID_000079,IP_000052,2026-01-01 06:48:52.787000+00:00,2026-01-01 06:48:52.765000+00:00
2026-01-01T06:48:55.791000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:55.791000+00:00,2026-01-01 06:48:52.787000+00:00
2026-01-01T06:48:55.792000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:55.792000+00:00,2026-01-01 06:48:55.791000+00:00
2026-01-01T06:48:55.814000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:55.814000+00:00,2026-01-01 06:48:55.792000+00:00
2026-01-01T06:48:56.809000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:56.809000+00:00,2026-01-01 06:48:55.814000+00:00
2026-01-01T06:48:56.815000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:56.815000+00:00,2026-01-01 06:48:56.809000+00:00
2026-01-01T06:48:56.816000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:56.816000+00:00,2026-01-01 06:48:56.815000+00:00
2026-01-01T06:48:56.833000Z,MISC_DRIVERS_API_AUTOCOMPLETE_001,UUID_000079,IP_000052,2026-01-01 06:48:56.833000+00:00,2026-01-01 06:48:56.816000+00:00
2026-01-01T06:48:59.526000Z,RESERVATION_OTHER_006,UUID_000079,IP_000052,2026-01-01 06:48:59.526000+00:00,2026-01-01 06:48:56.833000+00:00
2026-01-01T06:48:59.532000Z,RESERVATION_OTHER_006,UUID_000079,IP_000052,2026-01-01 06:48:59.532000+00:00,2026-01-01 06:48:59.526000+00:00
2026-01-01T06:48:59.533000Z,RESERVATION_OTHER_006,UUID_000079,IP_000052,2026-01-01 06:48:59.533000+00:00,2026-01-01 06:48:59.532000+00:00
